MSSubClass,MSZoning,LotArea,LotShape,LotConfig,Neighborhood,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,TotalBsmtSF,HeatingQC,1stFlrSF,GrLivArea,FullBath,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SaleType,SaleCondition,SalePrice
50,RL,12822,IR1,CulDSac,Mitchel,1.5Fin,7,2003,2003,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,No,GLQ,1434,Ex,1518,2149,1,1,Gd,6,1,Ex,Attchd,2003.0,RFn,2,670,WD,Abnorml,239686
20,FV,11096,Reg,Inside,Somerst,1Story,8,2006,2006,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,Av,GLQ,1656,Ex,1656,1656,2,1,Gd,7,0,Na,Attchd,2006.0,RFn,3,826,WD,Normal,249700
20,RL,7742,Reg,Inside,Sawyer,1Story,5,1966,1966,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,TA,No,BLQ,955,Ex,955,955,1,1,TA,6,0,Na,Attchd,1966.0,Unf,1,386,WD,Normal,127000
60,RL,13869,IR2,Corner,Gilbert,2Story,6,1997,1997,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,Av,GLQ,794,Gd,794,1470,2,1,TA,6,0,Na,Attchd,1997.0,Fin,2,388,WD,Normal,177000
50,RM,6240,Reg,Inside,BrkSide,1.5Fin,6,1934,1950,Gable,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,No,Unf,816,TA,816,1176,1,1,TA,6,1,Gd,Detchd,1985.0,Unf,2,528,WD,Normal,114500
90,RM,8472,IR2,Corner,IDOTRR,1Story,5,1963,1963,Gable,Wd Sdng,Wd Sdng,None,Fa,TA,CBlock,Gd,Gd,LwQ,816,TA,816,816,1,1,TA,5,0,Na,CarPort,1963.0,Unf,2,516,WD,Normal,110000
80,RL,7134,Reg,Inside,NAmes,SLvl,5,1955,1955,Gable,MetalSd,MetalSd,None,TA,TA,CBlock,TA,No,ALQ,384,TA,1360,1360,1,1,TA,6,1,TA,Detchd,1962.0,Unf,2,572,WD,Normal,130000
20,RL,10175,IR1,Inside,NAmes,1Story,6,1964,1964,Gable,HdBoard,Plywood,BrkFace,TA,TA,CBlock,TA,No,BLQ,1425,Gd,1425,1425,2,1,TA,7,1,Gd,Attchd,1964.0,RFn,2,576,WD,Normal,180500
160,FV,2645,Reg,Inside,Somerst,2Story,8,1999,2000,Gable,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,No,GLQ,970,Ex,983,1739,2,1,Gd,7,0,Na,Attchd,1999.0,Fin,2,480,WD,Abnorml,172500
60,RL,11645,IR1,Corner,CollgCr,2Story,7,2004,2004,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,No,Unf,860,Ex,860,1720,2,1,Gd,7,0,Na,Attchd,2004.0,RFn,2,565,WD,Normal,196500
20,RL,7200,Reg,Inside,CollgCr,1Story,5,1972,1972,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,TA,Av,ALQ,780,Ex,780,780,1,1,TA,4,0,Na,Detchd,1973.0,Unf,1,352,WD,Normal,124900
20,RL,13072,Reg,Inside,SawyerW,1Story,6,2004,2004,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,No,ALQ,1158,Ex,1158,1158,1,1,Gd,5,0,Na,Detchd,2006.0,Unf,2,576,New,Partial,158000
75,RM,7200,Reg,Inside,IDOTRR,2.5Unf,5,1920,1996,Gable,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,No,Unf,530,TA,581,1111,1,1,Fa,6,0,Na,Detchd,1935.0,Unf,1,288,WD,Normal,101000
120,RL,6442,IR1,Inside,NridgHt,1Story,8,2006,2006,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,Mn,GLQ,1370,Ex,1370,1370,2,1,Gd,6,1,Gd,Attchd,2006.0,RFn,2,484,WD,Normal,202500
70,RM,10300,IR1,Inside,OldTown,2Story,7,1921,1950,Gable,Stucco,Stucco,None,TA,TA,BrkTil,TA,No,Unf,576,Gd,902,1710,2,1,TA,9,0,Na,Detchd,1990.0,Unf,2,480,WD,Normal,140000
60,RL,9375,Reg,Inside,CollgCr,2Story,7,1997,1998,Gable,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,No,GLQ,1057,Ex,1057,2034,2,1,Gd,8,0,Na,Attchd,1998.0,RFn,2,645,WD,Normal,219500
60,RL,9591,Reg,Inside,NridgHt,2Story,8,2004,2005,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,Av,Unf,1143,Ex,1143,2473,2,1,Gd,9,1,Gd,BuiltIn,2004.0,RFn,3,852,WD,Normal,317000
20,RL,10665,IR1,Inside,CollgCr,1Story,7,2003,2003,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,Av,GLQ,1453,Ex,1479,1479,2,1,Gd,7,0,Na,Attchd,2003.0,RFn,2,558,WD,Normal,226000
30,RM,4608,Reg,Corner,OldTown,1Story,4,1945,1950,Gable,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,No,Unf,747,TA,747,747,1,1,TA,4,0,Na,Attchd,1945.0,Unf,1,220,WD,Normal,80000
50,RL,15593,Reg,Corner,ClearCr,1.5Fin,7,1953,1953,Gable,BrkFace,AsbShng,None,Gd,TA,CBlock,TA,No,BLQ,1304,TA,1304,2287,2,1,TA,7,1,TA,Attchd,1953.0,Fin,2,667,WD,Normal,225000
20,RL,13651,IR1,Inside,NAmes,1Story,7,1973,1973,Gable,Plywood,Plywood,BrkFace,TA,Gd,CBlock,Gd,Gd,ALQ,2223,Ex,2223,2223,2,1,TA,8,2,Gd,Attchd,1973.0,Fin,2,516,WD,Normal,244000
20,RL,7599,Reg,Corner,Mitchel,1Story,4,1982,2006,Gable,HdBoard,Plywood,None,TA,TA,CBlock,TA,No,ALQ,845,TA,845,845,1,1,TA,4,0,Na,Detchd,1987.0,Unf,2,360,WD,Normal,129500
60,RL,10141,IR1,Corner,Gilbert,2Story,7,1998,1998,Gable,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,No,Unf,832,Gd,885,1718,2,1,TA,7,1,TA,Attchd,1998.0,Fin,2,427,WD,Normal,185000
20,RL,10200,Reg,Inside,NAmes,1Story,5,1954,2003,Gable,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,No,ALQ,1086,Gd,1086,1086,1,1,TA,6,0,Na,Attchd,1989.0,Unf,2,490,WD,Normal,144900
50,RM,5790,Reg,Corner,OldTown,2Story,3,1915,1950,Gambrel,VinylSd,VinylSd,None,Gd,Gd,CBlock,Fa,No,Unf,840,Gd,840,1605,2,2,TA,8,0,Na,Detchd,1915.0,Unf,1,379,WD,Normal,107400
180,RM,1596,Reg,Inside,MeadowV,SLvl,4,1973,1973,Gable,CemntBd,CmentBd,None,TA,TA,CBlock,Gd,Gd,GLQ,462,TA,526,988,1,1,TA,5,0,Na,BuiltIn,1973.0,Unf,1,297,WD,Normal,91000
20,RL,8475,IR1,Inside,NAmes,1Story,4,1956,1956,Gable,VinylSd,VinylSd,None,TA,TA,CBlock,TA,No,ALQ,952,Ex,952,952,1,1,TA,4,0,Na,Detchd,1956.0,Unf,1,283,WD,Normal,135750
50,RM,8635,Reg,Inside,BrkSide,1.5Fin,5,1948,2001,Gable,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,No,BLQ,672,TA,1072,1285,1,1,TA,6,0,Na,Detchd,1948.0,Unf,1,240,WD,Normal,127000
50,RM,10440,Reg,Corner,OldTown,2Story,5,1910,1981,Gable,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,No,Unf,440,Gd,682,1230,1,1,TA,5,0,Na,Detchd,1966.0,Unf,2,440,WD,Normal,110000
60,RL,13000,Reg,Corner,NAmes,2Story,6,1968,1968,Gable,VinylSd,VinylSd,BrkFace,TA,Gd,CBlock,Gd,No,Rec,896,TA,1182,2142,2,1,Gd,8,1,Gd,Attchd,1968.0,Fin,1,509,WD,Normal,193500
120,RM,4500,Reg,FR2,Mitchel,1Story,6,1998,1998,Hip,VinylSd,VinylSd,BrkFace,TA,Gd,PConc,Ex,No,GLQ,1237,Ex,1337,1337,2,1,TA,5,0,Na,Attchd,1998.0,Fin,2,405,WD,Normal,153500
20,RL,10206,Reg,Inside,Somerst,1Story,8,2007,2007,Gable,VinylSd,VinylSd,Stone,TA,TA,PConc,Gd,No,GLQ,1563,Ex,1563,1563,2,1,Gd,6,1,Gd,Attchd,2007.0,RFn,3,758,WD,Normal,245000
20,RL,8892,IR1,Inside,NAmes,1Story,5,1960,1960,Gable,MetalSd,MetalSd,BrkCmn,TA,TA,CBlock,TA,No,Unf,1065,Gd,1065,1065,1,1,TA,6,0,Na,Detchd,1974.0,Unf,2,461,COD,Normal,126500
80,RL,8530,IR1,Inside,Gilbert,SLvl,7,1995,1996,Gable,HdBoard,HdBoard,BrkFace,TA,TA,PConc,Gd,No,Unf,384,Gd,804,1474,2,1,TA,7,1,TA,BuiltIn,1995.0,Fin,2,400,WD,Normal,168500
60,RL,16059,Reg,Corner,NoRidge,2Story,8,1991,1992,Hip,HdBoard,HdBoard,BrkFace,Gd,TA,CBlock,Gd,No,Unf,1288,Ex,1301,2417,2,1,Gd,9,1,TA,Attchd,1991.0,Unf,2,462,WD,Normal,260000
60,RL,11911,IR2,Inside,Gilbert,2Story,6,2005,2005,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,Av,Unf,684,Ex,684,1560,2,1,Gd,6,1,Gd,BuiltIn,2005.0,Fin,2,400,WD,Normal,174000
160,FV,3951,Reg,Corner,Somerst,2Story,6,2009,2009,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,Av,Unf,612,Ex,612,1224,2,1,Gd,4,0,Na,Detchd,2009.0,RFn,2,528,New,Partial,164500
30,RL,13360,IR1,Inside,Crawfor,1Story,5,1921,2006,Gable,Wd Sdng,Wd Sdng,None,TA,Gd,BrkTil,Gd,No,ALQ,876,Ex,964,964,1,1,TA,5,0,Na,Detchd,1921.0,Unf,2,432,WD,Normal,163500
190,C (all),7200,Reg,Corner,OldTown,2.5Unf,6,1910,1998,Hip,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,Mn,Rec,1214,Ex,1260,2291,2,2,TA,9,1,Gd,Detchd,1900.0,Unf,2,506,WD,Normal,133900
60,RL,9337,IR1,Inside,CollgCr,2Story,6,1997,1997,Gable,VinylSd,VinylSd,None,TA,Gd,PConc,Gd,No,GLQ,824,Ex,905,1786,2,1,Gd,7,0,Na,Attchd,1997.0,RFn,2,684,WD,Normal,204750
20,RL,10264,IR1,Inside,CollgCr,1Story,7,1999,1999,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,Av,ALQ,1588,Ex,1588,1588,2,1,Gd,6,0,Na,Attchd,1999.0,RFn,2,472,WD,Normal,214000
20,RL,10921,Reg,Inside,Edwards,1Story,4,1965,1965,Hip,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,No,Rec,960,TA,960,960,1,1,TA,6,0,Na,Attchd,1965.0,Fin,1,432,WD,Normal,94750
30,RL,10625,Reg,Corner,Edwards,1Story,5,1920,1950,Gable,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,No,ALQ,458,Fa,835,835,1,1,TA,5,0,Na,Basment,1920.0,Unf,1,366,COD,Abnorml,83000
20,RL,10603,IR1,Inside,NWAmes,1Story,6,1977,2001,Gable,Plywood,Plywood,BrkFace,TA,TA,PConc,TA,Mn,ALQ,1610,Gd,1610,1610,2,1,Gd,6,2,TA,Attchd,1977.0,RFn,2,480,WD,Normal,205000
60,RL,9206,Reg,Inside,SawyerW,2Story,6,1985,1985,Gable,HdBoard,HdBoard,BrkFace,Gd,TA,CBlock,Gd,No,Unf,741,TA,977,1732,2,1,Gd,7,1,TA,Attchd,1985.0,Fin,2,476,WD,Normal,178000
20,RL,10402,IR1,Corner,CollgCr,1Story,7,2009,2009,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,No,Unf,1226,Ex,1226,1226,2,1,Gd,6,0,Na,Attchd,2009.0,RFn,3,740,WD,Normal,198900
50,RM,7758,Reg,Corner,IDOTRR,1.5Fin,7,1931,1950,Gable,Stucco,Stucco,BrkFace,TA,Fa,PConc,TA,No,LwQ,1040,Ex,1226,1818,1,1,TA,7,2,TA,Detchd,1951.0,Unf,1,240,WD,Normal,169500
60,FV,9375,Reg,Inside,Somerst,2Story,8,2003,2004,Hip,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,No,Unf,1053,Ex,1053,1992,2,1,Gd,9,1,Gd,Attchd,2003.0,RFn,2,648,WD,Normal,250000
30,RM,10800,Reg,Inside,OldTown,1Story,4,1885,1995,Mansard,VinylSd,VinylSd,None,TA,TA,BrkTil,Fa,No,Unf,641,Gd,1047,1047,1,1,TA,6,0,Na,Detchd,1954.0,Unf,1,273,WD,Normal,100000
20,RM,6000,Reg,Inside,OldTown,1Story,5,1948,1950,Gable,VinylSd,VinylSd,None,TA,TA,CBlock,TA,No,ALQ,789,Ex,789,789,1,1,TA,5,0,Na,Detchd,1948.0,Unf,1,250,WD,Partial,115000
20,RL,11751,IR1,Inside,NWAmes,1Story,6,1977,1977,Hip,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,No,BLQ,1844,Ex,1844,1844,2,1,TA,7,1,TA,Attchd,1977.0,RFn,2,546,COD,Normal,190000
50,RL,9525,Reg,Inside,Edwards,1.5Fin,6,1954,1972,Gable,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,No,Rec,994,Gd,1216,1855,2,1,TA,7,0,Na,Attchd,1954.0,Unf,1,325,WD,Normal,136900
80,RL,7750,IR1,Inside,Gilbert,SLvl,7,2000,2000,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,No,GLQ,384,Ex,774,1430,2,1,TA,7,1,TA,BuiltIn,2000.0,Fin,2,400,WD,Normal,180000
60,RL,9965,Reg,Inside,CollgCr,2Story,7,2007,2007,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,Av,GLQ,1264,Ex,1282,2696,2,1,Ex,10,1,Gd,BuiltIn,2007.0,Fin,3,792,New,Partial,383970
160,FV,3230,Reg,Corner,Somerst,2Story,6,1999,1999,Gable,MetalSd,MetalSd,BrkFace,TA,TA,PConc,Gd,No,GLQ,729,Gd,729,1458,2,1,TA,5,1,Fa,Detchd,1999.0,Unf,2,440,WD,Normal,176000
20,RL,11616,Reg,Inside,Sawyer,1Story,5,1962,1962,Gable,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,No,LwQ,1092,TA,1092,1092,1,1,TA,6,1,Po,Attchd,1962.0,Unf,1,288,WD,Normal,139000
20,RL,8536,Reg,Corner,Edwards,1Story,5,2006,2007,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,No,Unf,1125,Gd,1125,1125,1,1,TA,5,0,Na,Attchd,2007.0,Unf,2,430,New,Partial,155000
60,RL,8461,Reg,Inside,CollgCr,2Story,6,2005,2006,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,No,Unf,728,Ex,728,1456,2,1,Gd,8,1,Gd,Attchd,2005.0,Fin,2,390,New,Partial,163990
50,RM,6060,Reg,Inside,IDOTRR,1.5Fin,4,1939,1950,Gable,AsbShng,AsbShng,None,TA,TA,PConc,TA,No,Unf,732,Gd,772,1123,1,1,TA,4,0,Na,Detchd,1979.0,Unf,1,264,WD,Normal,100000
20,RL,9464,Reg,Corner,NAmes,1Story,6,1958,1958,Hip,MetalSd,MetalSd,BrkFace,TA,Gd,CBlock,TA,No,BLQ,1080,Gd,1080,1080,1,1,TA,5,0,Na,Attchd,1958.0,Unf,1,288,WD,Normal,136000
120,RL,7892,Reg,Inside,SawyerW,1Story,6,1993,1993,Gable,Plywood,Plywood,None,Gd,TA,PConc,Gd,No,GLQ,1199,Ex,1199,1199,2,1,Gd,5,0,Na,Attchd,1993.0,RFn,2,530,WD,Normal,153900
20,RL,17043,IR1,CulDSac,NWAmes,1Story,6,1979,1998,Gable,HdBoard,HdBoard,None,TA,Gd,CBlock,Gd,No,Unf,1362,TA,1586,1586,2,1,TA,7,1,TA,Attchd,1979.0,Unf,2,435,WD,Normal,181000
120,RL,4928,IR1,Inside,NPkVill,1Story,6,1976,1976,Gable,Plywood,Plywood,None,TA,TA,CBlock,Gd,No,ALQ,1078,TA,958,958,2,1,TA,5,1,TA,Attchd,1977.0,RFn,2,440,WD,Normal,128000
